PL;S_PL
Bandara/Pelabuhan;1
Hutan Lahan Kering Primer;5
Hutan Lahan Kering Sekunder;3
Hutan Rawa Primer;4
Hutan Rawa Sekunder;3
Hutan Tanaman;2
Perkebunan;2
Permukiman;1
Transmigrasi;2
Pertambangan;1
Pertanian Lahan Kering;3
Pertanian Lahan Kering Campur;3
Rawa;3
Savana/Padang Rumput;2
Sawah;5
Semak Belukar;3
Semak Belukar Rawa;3
Tambak;5
Perkebunan Pohon;1.6
Perkebunan Perdu;1.4
Perkebunan Terna;2
Perkebunan Semak;1.2
Perkebunan Palma;1.8
Permukiman Perkotaan;1
Permukiman Perdesaan;2
Transmigrasi;2
Tubuh Air Alami;3.75
Tubuh Air Buatan;3.75
Sungai;4
Kolam Bekas Tambang;3.25
Embung;3.5
Lahan Terbuka;1
Lahan Terbuka Diperkeras;1
Lahan Terbuka Berpasir;1.33
Lahan Terbuka Berbatu;1
Lahan Terbuka Berlumpur;1.67
RTH Perkotaan;2
Hutan Kota;2
Industri;1
Saluran Air (Tidak Dirinci);3.5
Kolam Oksidasi dan Pengelolaan Limbah;1
Tempat Penimbunan dan Pembuangan Sampah;1
Hutan Mangrove Primer;4
Hutan Mangrove Sekunder;3
Savana;2
Padang Rumput;2
